Date,Close
2022-03-04,2608.32
2022-03-05,2655.49
2022-03-06,2627.79
2022-03-07,2484.17
2022-03-08,2560.8
2022-03-09,2708.44
2022-03-10,2604.0
2022-03-11,2573.6
2022-03-12,2586.98
2022-03-13,2547.01
2022-03-14,2524.55
2022-03-15,2625.59
2022-03-16,2774.5
2022-03-17,2807.99
2022-03-18,2952.01
2022-03-19,2956.8
2022-03-20,2877.47
2022-03-21,2911.51
2022-03-22,3001.61
2022-03-23,2981.96
2022-03-24,3104.85
2022-03-25,3128.32
2022-03-26,3144.0
2022-03-27,3238.88
2022-03-28,3417.28
2022-03-29,3395.2
2022-03-30,3413.71
2022-03-31,3299.98
2022-04-01,3443.19
2022-04-02,3471.2
2022-04-03,3495.0
2022-04-04,3510.17
2022-04-05,3436.17
2022-04-06,3235.47
2022-04-07,3238.51
2022-04-08,3247.98
2022-04-09,3226.04
2022-04-10,3290.16
2022-04-11,2992.28
2022-04-12,2987.7
2022-04-13,3105.73
2022-04-14,3011.47
2022-04-15,3030.16
2022-04-16,3034.06
2022-04-17,3045.7
2022-04-18,3005.18
2022-04-19,3094.31
2022-04-20,3085.0
2022-04-21,3001.41
2022-04-22,2971.28
2022-04-23,2961.98
2022-04-24,2941.25
2022-04-25,2996.74
2022-04-26,2828.63
2022-04-27,2864.84
2022-04-28,2948.97
2022-04-29,2806.13
2022-04-30,2788.47
2022-05-01,2812.7
2022-05-02,2827.69
2022-05-03,2774.37
2022-05-04,2943.42
2022-05-05,2754.37
2022-05-06,2704.81
2022-05-07,2673.55
2022-05-08,2539.33
2022-05-09,2286.1
2022-05-10,2321.92
2022-05-11,2031.16
2022-05-12,1925.01
2022-05-13,2043.75
2022-05-14,1997.47
2022-05-15,2128.88
2022-05-16,2030.99
2022-05-17,2051.9
2022-05-18,1962.74
2022-05-19,2011.38
2022-05-20,1957.64
2022-05-21,1972.76
2022-05-22,2004.77
2022-05-23,1996.35
2022-05-24,1967.21
2022-05-25,1959.09
2022-05-26,1826.05
2022-05-27,1744.16
2022-05-28,1790.25
2022-05-29,1793.03
2022-05-30,1952.14
2022-05-31,1948.13
2022-06-01,1794.22
2022-06-02,1824.05
2022-06-03,1758.06
2022-06-04,1774.69
2022-06-05,1809.74
2022-06-06,1860.47
2022-06-07,1844.73
2022-06-08,1796.12
2022-06-09,1792.44
2022-06-10,1677.39
2022-06-11,1521.84
2022-06-12,1477.97
2022-06-13,1243.08
2022-06-14,1187.3
2022-06-15,1177.44
2022-06-16,1096.86
2022-06-17,1095.0
2022-06-18,902.25
2022-06-19,1138.58
2022-06-20,1119.96
2022-06-21,1121.57
2022-06-22,1051.16
2022-06-23,1134.2
2022-06-24,1215.09
2022-06-25,1207.44
2022-06-26,1247.7
2022-06-27,1202.24
2022-06-28,1160.55
2022-06-29,1107.93
2022-06-30,1011.67
2022-07-01,1067.88
2022-07-02,1062.79
2022-07-03,1083.27
2022-07-04,1120.44
2022-07-05,1154.34
2022-07-06,1160.63
2022-07-07,1237.75
2022-07-08,1242.36
2022-07-09,1219.84
2022-07-10,1177.5
2022-07-11,1136.62
2022-07-12,1046.0
2022-07-13,1075.93
2022-07-14,1191.48
2022-07-15,1256.28
2022-07-16,1345.6
2022-07-17,1343.41
2022-07-18,1473.04
2022-07-19,1559.6
2022-07-20,1524.0
2022-07-21,1586.73
2022-07-22,1525.01
2022-07-23,1523.82
2022-07-24,1611.43
2022-07-25,1520.86
2022-07-26,1379.02
2022-07-27,1601.64
2022-07-28,1756.28
2022-07-29,1733.17
2022-07-30,1702.82
2022-07-31,1721.29
2022-08-01,1622.95
2022-08-02,1650.3
2022-08-03,1641.88
2022-08-04,1590.67
2022-08-05,1679.93
2022-08-06,1715.0
2022-08-07,1722.52
2022-08-08,1799.85
2022-08-09,1698.01
2022-08-10,1842.6
2022-08-11,1902.53
2022-08-12,1933.74
2022-08-13,1991.91
2022-08-14,1942.57
2022-08-15,1904.74
2022-08-16,1885.13
2022-08-17,1850.2
2022-08-18,1876.87
2022-08-19,1687.8
2022-08-20,1531.94
2022-08-21,1618.24
2022-08-22,1578.05
2022-08-23,1649.28
2022-08-24,1683.37
2022-08-25,1707.8
2022-08-26,1557.41
2022-08-27,1480.58
2022-08-28,1483.47
2022-08-29,1546.83
2022-08-30,1557.62
2022-08-31,1572.96
